Column1,Column2,Column3,Column4,Column5,列1,列2,列3,列4,列5,Column11,Column12,Column13,Column14
Longcat AI API地址,Longcat AI API URL,Longcat AI API地址,Longcat AI API位址,Longcat AI API URL,,,,,,,,,
Longcat AI的API地址，默认：https://api.longcat.chat/openai/v1,Longcat AI API URL, default: https://api.longcat.chat/openai/v1,Longcat AI的API地址，默认：https://api.longcat.chat/openai/v1,Longcat AI的API位址，默認：https://api.longcat.chat/openai/v1,Longcat AIのAPI URL、デフォルト：https://api.longcat.chat/openai/v1,,,,,,,,,
llama.cpp API密钥,llama.cpp API Key,llama.cpp API密钥,llama.cpp API金鑰,llama.cpp APIキー,,,,,,,,,
可留空。如启动llama.cpp服务时设置了 --api-key，请在此填写对应密钥。,"Leave empty. If you set --api-key when starting llama.cpp server, enter the key here.",可留空。如启动llama.cpp服务时设置了 --api-key，请在此填写对应密钥。,可留空。如啟動llama.cpp服務時設置了 --api-key，請在此填寫對應密鑰。,空欄可。llama.cppサーバー起動時に --api-key を設定した場合は、ここに入力してください。,,,,,,,,,
llama.cpp 模型,llama.cpp Model,llama.cpp 模型,llama.cpp 模型,llama.cpp モデル,,,,,,,,,
llama.cpp加载的模型名称，可通过 /v1/models 端点查询。,"Model name loaded by llama.cpp, queryable via /v1/models endpoint.",llama.cpp加载的模型名称，可通过 /v1/models 端点查询。,llama.cpp加載的模型名稱，可通過 /v1/models 端點查詢。,llama.cppで読み込まれたモデル名。/v1/models エンドポイントで確認可能。,,,,,,,,,
llama.cpp API地址,llama.cpp API URL,llama.cpp API地址,llama.cpp API位址,llama.cpp API URL,,,,,,,,,
llama.cpp本地服务的API地址，默认为 http://localhost:8080/v1,llama.cpp local service API URL, default: http://localhost:8080/v1,llama.cpp本地服务的API地址，默认为 http://localhost:8080/v1,llama.cpp本地服務的API位址，默認為 http://localhost:8080/v1,llama.cppローカルサービスのAPI URL、デフォルト：http://localhost:8080/v1,,,,,,,,,
Agnes API密钥,Agnes API Key,Agnes API密钥,Agnes API金鑰,Agnes APIキー,,,,,,,,,
请输入Agnes平台的API Key,Please enter Agnes API key,请输入Agnes平台的API Key,請輸入Agnes平台的API Key,AgnesのAPIキーを入力してください,,,,,,,,,
Agnes 模型,Agnes Model,Agnes 模型,Agnes 模型,Agnes モデル,,,,,,,,,
Agnes模型名称，如：agnes-2.0-flash,Agnes model name such as: agnes-2.0-flash,Agnes模型名称，如：agnes-2.0-flash,Agnes模型名稱，如：agnes-2.0-flash,Agnesモデル名、例：agnes-2.0-flash,,,,,,,,,
Agnes API地址,Agnes API URL,Agnes API地址,Agnes API位址,Agnes API URL,,,,,,,,,
Agnes的API地址，默认：https://apihub.agnes-ai.com/v1,Agnes API URL, default: https://apihub.agnes-ai.com/v1,Agnes的API地址，默认：https://apihub.agnes-ai.com/v1,Agnes的API位址，默認：https://apihub.agnes-ai.com/v1,AgnesのAPI URL、デフォルト：https://apihub.agnes-ai.com/v1,,,,,,,,,
讯飞星辰 API密钥,iFlytek Xingchen API Key,讯飞星辰 API密钥,訊飛星辰 API金鑰,訊飛星辰 APIキー,,,,,,,,,
请输入讯飞星辰MaaS平台的APIKey（从服务管控页面获取）,Please enter iFlytek Xingchen MaaS API Key (obtained from the service management page),请输入讯飞星辰MaaS平台的APIKey（从服务管控页面获取）,請輸入訊飛星辰MaaS平台的APIKey（從服務管控頁面獲取）,訊飛星辰MaaSプラットフォームのAPIKeyを入力してください（サービス管理ページから取得）,,,,,,,,,
讯飞星辰 模型,iFlytek Xingchen Model,讯飞星辰 模型,訊飛星辰 模型,訊飛星辰 モデル,,,,,,,,,
讯飞星辰模型ID，如：PaddleOCR-VL-1.6、DeepSeek-OCR、HunyuanOCR（从服务管控页面获取对应ModelID）,iFlytek Xingchen model ID, e.g. PaddleOCR-VL-1.6, DeepSeek-OCR, HunyuanOCR (obtained from the service management page),讯飞星辰模型ID，如：PaddleOCR-VL-1.6、DeepSeek-OCR、HunyuanOCR（从服务管控页面获取对应ModelID）,訊飛星辰模型ID，如：PaddleOCR-VL-1.6、DeepSeek-OCR、HunyuanOCR（從服務管控頁面獲取對應ModelID）,訊飛星辰モデルID、例：PaddleOCR-VL-1.6、DeepSeek-OCR、HunyuanOCR（サービス管理ページから対応するModelIDを取得）,,,,,,,,,
讯飞星辰 API地址,iFlytek Xingchen API URL,讯飞星辰 API地址,訊飛星辰 API位址,訊飛星辰 API URL,,,,,,,,,
讯飞星辰MaaS API地址，默认：https://maas-api.cn-huabei-1.xf-yun.com/v2（2026年1月10日后发布服务的用户）；存量用户可使用 http://maas-api.cn-huabei-1.xf-yun.com/v1,iFlytek Xingchen MaaS API URL, default: https://maas-api.cn-huabei-1.xf-yun.com/v2 (for users with services published after 2026-01-10); existing users can use http://maas-api.cn-huabei-1.xf-yun.com/v1,讯飞星辰MaaS API地址，默认：https://maas-api.cn-huabei-1.xf-yun.com/v2（2026年1月10日后发布服务的用户）；存量用户可使用 http://maas-api.cn-huabei-1.xf-yun.com/v1,訊飛星辰MaaS API位址，默認：https://maas-api.cn-huabei-1.xf-yun.com/v2（2026年1月10日後發佈服務的用戶）；存量用戶可使用 http://maas-api.cn-huabei-1.xf-yun.com/v1,訊飛星辰MaaS API URL、デフォルト：https://maas-api.cn-huabei-1.xf-yun.com/v2（2026年1月10日以降にサービスを公開したユーザー）；既存ユーザーは http://maas-api.cn-huabei-1.xf-yun.com/v1 を使用可能,,,,,,,,,

